Solver,Execution time [sec],Algorithm
Cadical,0.00020259999999794331,Binomial [Efficient]
Glucose4,0.0003185999999999467,Binomial [Efficient]
Lingeling,0.00015379999999964866,Binomial [Efficient]
Minisat22,0.00022179999999849542,Binomial [Efficient]
Maplesat,0.00048719999999846664,Binomial [Efficient]
Cadical,0.00046090000000020837,Sequential [Efficient]
Glucose4,0.000297899999999629,Sequential [Efficient]
Lingeling,0.000408000000000186,Sequential [Efficient]
Minisat22,0.000256000000000256,Sequential [Efficient]
Maplesat,0.0005477999999996541,Sequential [Efficient]
Cadical,0.007213999999997611,Binary [Efficient]
Glucose4,0.003036700000002668,Binary [Efficient]
Lingeling,0.003231899999999399,Binary [Efficient]
Minisat22,0.0020530000000000825,Binary [Efficient]
Maplesat,0.003982600000000502,Binary [Efficient]
